query_name,execution_time_seconds,cardinality_bound
q5,0.000785,1488272089.8398273
q3,0.000679,438899.9999999999
q4,0.000869,149311523.00026408
q8,0.000807,1488272089.8398273
q6,0.000723,24648583.5796111
q9,0.000531,24648583.5796111
q2,0.000822,1950732640661.4436
q1,0.001168,2535142755.665701
q5,0.000834,17555905147.36653
q3,0.000672,438900.0
q4,0.000805,149311523.00026408
q8,0.000985,17555905147.36653
q6,0.000621,24648583.5796111
q9,0.000833,24648583.5796111
q2,0.001175,1950732640661.4436
q1,0.001155,2535142755.665701
q5,0.001677,17555905147.36653
q3,0.000853,438900.0
q4,0.001479,149311523.00026408
q8,0.001132,17555905147.36653
q6,0.004471,24648583.5796111
q9,0.001073,24648583.5796111
q2,0.001465,1950732640661.4436
q1,0.003544,2535142755.665701
