query_name,execution_time_seconds,cardinality_bound
p2,0.000867,228.0
p2,0.002214,228.0
p2,0.0009,228.0
p2,0.00516,228.0
p2,0.001056,228.0
p2,0.001913,228.0
p2,0.001268,228.0
p2,0.001108,228.0
p2,0.001054,5134.030009920634
p2,0.00171,228.0
p2,0.00151,228.0
p2,0.001204,228.0
p2,0.000917,228.0
p2,0.00114,228.0
p2,0.002236,5134.030009920634
p2,0.001165,228.0
p2,0.0027,5134.030009920634
p2,0.000832,5134.030009920634
p2,0.001268,5134.030009920634
p2,0.002497,228.0
p2,0.00361,5134.030009920634
safebound_init,0.393743,-
safebound_init,0.272703,-
safebound_init,0.281559,-
safebound_init,0.355554,-
safebound_init,0.318516,-
safebound_init,0.279902,-
safebound_init,0.43881,-
